Legal Name,Borough,Permit Expiration,Status,Age Range,Maximum Capacity,Child Care Type,Date Permitted,Current Date,Years in operations,Violation Rate Percent,Total Educational Workers,Public Health Hazard Violation Rate,Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Violation Status,Inspection Summary Result
BUSHWICK UNITED HOUSING DEVELOPMENT FUND CORPORATION,BROOKLYN,9/3/22,Permitted,2 YEARS - 5 YEARS,60,Child Care - Pre School,9/3/14,4/17/22,7,0,10,0,0,3/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTERS, INC.",BROOKLYN,9/3/22,Permitted,2 YEARS - 5 YEARS,96,Child Care - Pre School,9/3/14,4/17/22,7,50,14,50,0,3/29/22,Services fail to install interior fire alarms and/or sprinklers where required.,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"CONGREGATION OF THE MOTHERS OF THE HELPLESS, INC.",MANHATTAN,3/8/21,Expired-In Renewal,2 YEARS - 5 YEARS,24,Child Care - Pre School,1/22/05,4/17/22,17,0,5,0,0,1/5/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"ABC CHILD CENTER, INC.",BROOKLYN,6/13/23,Permitted,0 YEARS - 2 YEARS,41,Child Care - Infants/Toddlers,6/13/13,4/17/22,8,16.6667,8,0,16.6667,3/1/22,"Epi auto injector Not provided, Not maintained or expired.",CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
MetroKids Cradle Inc,QUEENS,1/29/23,Permitted,0 YEARS - 2 YEARS,10,Child Care - Infants/Toddlers,1/29/19,4/17/22,3,14.2857,5,14.2857,0,1/6/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
METROKIDSCRADLE (QUEENS CENTER) INC.,QUEENS,1/29/23,Permitted,0 YEARS - 2 YEARS,38,Child Care - Infants/Toddlers,1/29/19,4/17/22,3,33.3333,3,16.6667,33.3333,3/28/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
HOLY MOUNTAIN CHILD WORLD INC,QUEENS,9/9/23,Permitted,2 YEARS - 5 YEARS,45,Child Care - Pre School,10/24/96,4/17/22,25,60,5,20,60,2/15/22,At time of inspection required hand wash signs were Not provided.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
THE SHUANG WEN ACADEMY NETWORK (SWAN),MANHATTAN,2/7/23,Permitted,2 YEARS - 5 YEARS,47,Child Care - Pre School,2/7/17,4/17/22,5,0,13,0,0,3/7/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Bright Horizons Children's Centers LLC,MANHATTAN,8/24/23,Permitted,2 YEARS - 5 YEARS,51,Child Care - Pre School,8/24/21,4/17/22,0,0,1,0,0,3/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CHINATOWN DAY CARE CENTER, INC.",MANHATTAN,5/23/23,Permitted,2 YEARS - 5 YEARS,160,Child Care - Pre School,5/10/05,4/17/22,16,0,15,0,0,1/12/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
WORLD EXPLORERS GROUP INC.,BROOKLYN,10/31/22,Permitted,2 YEARS - 5 YEARS,45,Child Care - Pre School,10/31/18,4/17/22,3,57.1429,7,28.5714,57.1429,2/10/22,At time of inspection it was determined that individual associated with child care service/camp involved in an act detrimental to health and safety.,PUBLIC HEALTH HAZARD,OPEN,None
"ATLED, INC.",QUEENS,5/11/23,Permitted,2 YEARS - 5 YEARS,95,Child Care - Pre School,5/9/03,4/17/22,18,28.5714,11,14.2857,28.5714,2/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Previously closed program re-opened
M.S. SUNSHINE INC.,BROOKLYN,12/6/22,Permitted,2 YEARS - 5 YEARS,49,Child Care - Pre School,12/6/02,4/17/22,19,16.6667,6,0,16.6667,2/24/22,Child care service teaching staff acting as assistant teachers do Not meet age and educational requirements.,GENERAL,OPEN,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending
Metrokids Cradle Queens Center Inc,QUEENS,3/29/23,Permitted,0 YEARS - 2 YEARS,46,Child Care - Infants/Toddlers,3/29/19,4/17/22,3,16.6667,6,0,16.6667,3/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
ALL MY CHILDREN DAY CARE & NURSERY SCHOOL,QUEENS,5/17/22,Permitted,2 YEARS - 5 YEARS,67,Child Care - Pre School,5/17/04,4/17/22,17,33.3333,13,33.3333,16.6667,2/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
Little Munchkins Playgroup 56 Inc,BROOKLYN,7/6/22,Permitted,0 YEARS - 2 YEARS,40,Child Care - Infants/Toddlers,7/6/18,4/17/22,3,16.6667,12,16.6667,0,2/15/22,Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"BROADWAY HOUSING COMMUNITIES, INC.",MANHATTAN,8/25/20,Expired-In Renewal,2 YEARS - 5 YEARS,51,Child Care - Pre School,8/25/04,4/17/22,17,0,8,0,0,3/22/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
